flag,protocol_type
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,udp
SF,udp
SF,tcp
SF,tcp
SF,udp
SF,tcp
SF,udp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,udp
SF,tcp
SF,udp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
SF,tcp
